Column_No,Column_Name,Non_Null_values,Column_Dtype,feature_type
0,MSSubClass,1460,float64,Categorical
1,MSZoning,1460,object,Categorical
2,LotFrontage,1201,float64,Continous
3,LotArea,1460,float64,
4,Street,1460,object,
5,Alley,91,object,
6,LotShape,1460,object,
7,LandContour,1460,object,
8,Utilities,1460,object,
9,LotConfig,1460,object,
10,LandSlope,1460,object,
11,Neighborhood,1460,object,
12,Condition1,1460,object,
13,Condition2,1460,object,
14,BldgType,1460,object,
15,HouseStyle,1460,object,
16,OverallQual,1460,float64,
17,OverallCond,1460,float64,
18,YearBuilt,1460,float64,
19,YearRemodAdd,1460,float64,
20,RoofStyle,1460,object,
21,RoofMatl,1460,object,
22,Exterior1st,1460,object,
23,Exterior2nd,1460,object,
24,MasVnrType,1452,object,
25,MasVnrArea,1452,float64,
26,ExterQual,1460,object,
27,ExterCond,1460,object,
28,Foundation,1460,object,
29,BsmtQual,1423,object,
30,BsmtCond,1423,object,
31,BsmtExposure,1422,object,
32,BsmtFinType1,1423,object,
33,BsmtFinSF1,1460,float64,
34,BsmtFinType2,1422,object,
35,BsmtFinSF2,1460,float64,
36,BsmtUnfSF,1460,float64,
37,TotalBsmtSF,1460,float64,
38,Heating,1460,object,
39,HeatingQC,1460,object,
40,CentralAir,1460,object,
41,Electrical,1459,object,
42,1stFlrSF,1460,float64,
43,2ndFlrSF,1460,float64,
44,LowQualFinSF,1460,float64,
45,GrLivArea,1460,float64,
46,BsmtFullBath,1460,float64,
47,BsmtHalfBath,1460,float64,
48,FullBath,1460,float64,
49,HalfBath,1460,float64,
50,BedroomAbvGr,1460,float64,
51,KitchenAbvGr,1460,float64,
52,KitchenQual,1460,object,
53,TotRmsAbvGrd,1460,float64,
54,Functional,1460,object,
55,Fireplaces,1460,float64,
56,FireplaceQu,770,object,
57,GarageType,1379,object,
58,GarageYrBlt,1379,float64,
59,GarageFinish,1379,object,
60,GarageCars,1460,float64,
61,GarageArea,1460,float64,
62,GarageQual,1379,object,
63,GarageCond,1379,object,
64,PavedDrive,1460,object,
65,WoodDeckSF,1460,float64,
66,OpenPorchSF,1460,float64,
67,EnclosedPorch,1460,float64,
68,3SsnPorch,1460,float64,
69,ScreenPorch,1460,float64,
70,PoolArea,1460,float64,
71,PoolQC,7,object,
72,Fence,281,object,
73,MiscFeature,54,object,
74,MiscVal,1460,float64,
75,MoSold,1460,float64,
76,YrSold,1460,float64,
77,SaleType,1460,object,
78,SaleCondition,1460,object,
79,SalePrice,1460,float64,